id,data,label
376,"Ce qui nous rassemble est réel mais ne suffit pas à créer l’union. Mais il y a aujourd’hui un enjeu éthique individuel et collectif : face aux inégalités, pouvons nous laisser les choses continuer ainsi?",liberte
377,Le rassemblement est un défi très  difficile mais il est réclamé par une jeunesse plus engagée et impatiente que jamais. #PrimairePopulaire,
378,Il y a des sujets irritants qui doivent être portés dans le débat public. #PrimairePopulaire,autre
379,"Ce soir, j’aurai le plaisir d’intervenir lors de la soirée de la @PrimairePop A suivre ici, dès maintenant, soyez nombreux 👇🏽https://t.co/XJ8vN18ghk https://t.co/pQHuCs09vv",delete
380,"Faut-il clarifier, pour les personnes de bonne foi et celles de mauvaise foi: Je répète mes propos sur #CaVous : les arguments antivax sont un tissu d’imbécillités. Je suis moi-même vaccinée, EN GUYANE, depuis 4 mois, sans en faire mystère. ChT",
381,Nos sociétés ne manquent pas de grandes figures féminines. Souvent privées de visibilité. Lucette Michaux-Chevry a traversé le siècle avec éclat et non sans éclats. Une force en soi. Mes hommagesChT,culture
382,"Moun la Gwadloup, nou tchò maré. Voilà des dizaines d’années que vous partagez Jacob Desvarieux, sa voix, sa dégaine, son talent, sa joie, ce sourire, cette inclinaison de la tête et même sa salopette des débuts, avec nous ici et sur tous les continents. Nous sommes tristes.ChT",delete
383,«Il est passé le temps d’attendre la venue du temps»Octavio Paz.https://t.co/2oxIY6jj6Q,
384,Comment réparer une frisure de l'autre nuit? https://t.co/mjXxUWCy9D,autre
385,"""Cette chaîne de résistances : de la cale au marronnage""Le LIVE du 10 juin à 16h (paris) 11h (Cayenne) est à suivre sur la page Facebook de la Fondation pour la mémoire de l'esclavage. https://t.co/uqjKU1O11w",delete
386,Mercredi 27 janvier 2021 à l’Université d’Ottawa (virtuellement). Événement gratuit et ouvert à tou.te.s https://t.co/13jpa3wamP,
387,"Bien sûr cher @_JPMichel, ton travail tes combats ta pugnacité tes victoires. Mais aussi, ton esprit de dérision. Et comme nous aimions parfois nous moquer de nous-mêmes. Il nous arrivait de le faire avec les mots de Romain Gary. J’entends encore résonner nos rires. ByeChT",culture
388,"C’est tellement grave qu’il valait mieux vérifier par trois fois.Quoi que l’on pense des organisateurs, et des participants, et des motifs de la manifestation, envoyer des chiens contre des personnes, en Guyane, est inconcevable. Et inadmissible. Lien : https://t.co/McorPMyU8T",autre
389,https://t.co/ZzWgiijteW,
390,"Faire silence ou combler de mots le silence...quels mots? manquent ceux des femmes, des hommes qu'ils nous ont volés cette nuit-là. Percent ceux des femmes, des hommes qui survivent à cette nuit-là vendredi#13novembreDes mots...des notes? ""Il fait novembre en nos âmes""ChT",culture
391,"Chère Gisèle Halimi, chère Maître, j’aimais par-dessus tout le timbre et la musique de votre voix, je suis heureuse de vous avoir dit quelle force et quelle limpidité l’un et l’autre ajoutaient à vos passions. Je chéris encore nos conversations vives et vos mots résolus. ChT",culture
392,"Le Premier ministre est venu, il a vu, il a parlé https://t.co/jVtWrx8bPO",
393,"À force de goûts communs pour le sens des mots et le son des notes et pour le ton des unes et des autres, j’avais pris l’habitude d’écouter et regarder @jacquescoursil enjamber le monde et le temps avec sa trompette. Esprit insatiable, où t’en es-tu allé?ChT",culture
394,"Heureux anniversaire, très cher Guy. Je sais, je sais, c’était hier. Depuis que tu es parti, je fais des choses à l’envers. À commencer par mal commencer mon tweet de tristesse. Allez, tournez manèges. BaisersChT https://t.co/sK1v1uO9cN",delete
395,C’est la découverte de l’Amérique : la Guyane en fait partie !!! https://t.co/tCkUzduMGe  ChT,
396,"Oui, il y a des gestes et des actes chargés de sens. Et de justice. Porteurs de promesses... de surcroît ChThttps://t.co/HEvSs7DzoS",justice
397,https://t.co/OOtZy49jwfhttps://t.co/AqIMy5FxNQ https://t.co/2rMdlr0j3M,delete
398,https://t.co/9L77z5bVNX,
399,"Le sens de la prison? C’est souvent le courage politique qui manque, en haut tout en haut. Voilà du beau renfort : toutes sortes d’intelligences, d’expériences, de sensibilités, et une sacrée opportunité. Alors? des phrases aux actes?https://t.co/XqSezcxBmGChT",justice
400,"@OIP_sectionfr Nous le savons. C’est le courage politique qui manque, en haut tout en haut. Voilà du beau renfort : toutes sortes d’intelligences, d’expériences, de sensibilités, et une sacrée opportunité. Alors? des phrases aux actes? https://t.co/XqSezcxBmGChT",delete
401,"@guybedos mon Saltimbanque préféré, séduisant et joueur. Nos conversations et nos rires c’étaient 5 phrases de toi pour 1 de moi. Je passerai cette nuit sur ton dernier livre, sa jolie dédicace, ses pages toniques, je vais rire, pleurer, lever le nez, te redire je t’aimeChT",
402,"Les obscurantismes ont la vie dure, même lorsqu’on croit avoir tout gratté il en reste une couche. Le combat est incessant. Première riposte : garder la joie de vivre comme source d’énergie puis faire rempart ensemble.  ChT https://t.co/J8oiAAhbN1",culture
403,"‘Il faut faire chanter le dessin par la couleur, il faut faire comme Debussy, comme Debussy’ vibrait Marc Chagall. Brèves considérations à propos de quelques activités essentielles non répertoriées.ChT https://t.co/vPjTYDnNZx",culture
404,Pour la mémoire de l'esclavage 2020. ChT https://t.co/PS1nUogLdk,
405,"Est-ce mystère si l’intelligence ne préserve pas de la répulsion-fascination ou d’un sentiment de propriété sur les corps en couleur, ces corps qui comme la vie autour de nous épousent toutes les nuances ? ChThttps://t.co/vsze784Jig",justice
406,"A nos hommes, à ceux qui savent que leur bonheur ne vaut pas cher sans le nôtre, qui d’ailleurs ne dépend pas du leur ; à ceux qui ont compris que nous n’avons que faire de l’égalité par le bas. Les autres, nous les croquerons. A Osange.ChT https://t.co/vI7NdRXQLP",liberte
407,"A nos hommes, à ceux qui savent que leur bonheur ne vaut pas cher sans le nôtre, qui d’ailleurs ne dépend pas du leur ; à ceux qui ont compris que nous n’avons que faire de l’égalité par le bas. Les autres, nous les croquerons. A Osange.ChT https://t.co/qQpotjkTj3",
408,"Elle est ainsi. Cannibale, elle avale tout : la peur, la prudence, le doute, la santé… sans supprimer tous les risques. Son mets préféré : les libertés. Ces libertés qui, à chaque fois, tournent de l’œil. ChT https://t.co/mKAdlZ0ylo",culture
409,Épisode 2 pour contrer les amnésies prochaines.Ces enfants qui morflent. ChThttps://t.co/RGjxRfmThP,
410,"Poser les choses dès aujourd’hui, pour parer les amnésies à venir. En commençant par nos indispensables. ChT https://t.co/X9s4yycTfU",
411,"Merci chère @sarahmaldoror pour l’ardeur avec laquelle tu as traversé le siècle, ses remous et ses reculs, sans jamais faiblir; merci pour ce regard par lequel tu nous donnais à voir ce qui échappait à l’œil nu. Tu y es pour de bon, on t’y retrouvera à chaque fois.ChT",culture
412,"Oh @manudibango ça m’amusait de t’appeler Kossipo-Chêne, tant s’imposait d’un continent à l’autre l’évidence de tes racines. Et de ta solidité. Quoi? librairies fermées, concerts annulés, on dirait la fin du monde, alors tu te barres! On fera comment, sans toi, après? ChT",culture
413,"#Covid19 et prisons surpeuplées. L’urgence est avérée. L’outil constitutionnel existe. La possibilité institutionnelle aussi. La raison devrait suffire, de même que le sens des responsabilités. Sinon, la prudence? Avant l’heure des comptes... ChThttps://t.co/XjwtUSbZ8U",
414,"Étrange urgence, cette incarcération de Rokia Traoré!!! Drôle de façon de protéger la petite Uma! Et si la cohérence des décisions de justice devenait une priorité? Il serait plus facile de les lire... et les accepterhttps://t.co/ckrhUutE7vChT",culture
415,"Très heureuse d’être distinguée par le #PrixFetkannMaryseConde, très honorée d’être ainsi associée à @maryseconde Prix Nobel alternatif de littérature, immense écrivaine, femme de caractère intransigeante sur ses idéaux. Merci au jury composé de trois générations ChT",culture
416,"#Noustoutes ce n’est pas QUE notre affaire. De la peur à la colère, de la volonté à l’amour qui parfois résiste, de la dépendance qui parfois condamne à rester, tout cela entrave. Et des hésitations aux procédures, c’est bien notre affaire commune, institutions comprises 2/2ChT",
417,Combien de soleils s’éteignent chaque fois que l’une d’entre nous expire dans ce lieu d’intimité de confiance et de sécurité que devrait être la maison? Combien d’étoiles meurent dans les yeux des enfants qui crient? #Noustoutes pour que notre monde cesse de s’assombrir 1/2ChT,securite
418,"Il faut toujours être très prudent avec les symboles ou ce qui y ressemble. Mais quels temps d’aveuglement, de bêtise et de cynisme pour suspecter ainsi @EstherBenbassa! Sa parole sa vie ses écrits ses combats sont tous tendus de courage, de justice, de constanceChT",justice
419,"#poursamira Il y a les slogans, les calculs et les joutes. Et il y a les vies qui peuvent être brisées, des petites vies ou des vies de petites, des vies qui valent dans tous les casChT ➡️https://t.co/ikAJwxOdzX",
420,"Je ne comprends pas, c’était il y a quelques semaines, allez, quelques mois... nous arrivions limite à une pièce de Koltès. Nous pressions le pas, toi tes grandes foulées, moi de petits sauts, nous parlant, essoufflés. Woy Jean-Michel Martial, tu as quitté les quais!ChT",culture
421,"Dear Toni Morrison, I still hear your sublime laughter when you declare that no one describes love scenes the way you do. And that is true! It is indeed what you have offered us: such love for ourselves that you have made us capable of loving the worldChT",delete
422,"Chère Toni Morrison, j’entends encore votre rire sublime quand vous déclarez que personne ne décrit comme vous les scènes d’amour. Et c’est vrai! C’est d’abord ce que vous nous avez offert : un tel amour pour nous-mêmes que vous nous avez rendus capables d’aimer le monde ChT",
423,"Plus que jamais, #SoutienHumanité https://t.co/9fGxLOrXsZ",autre
424,De l’amour ♥️ https://t.co/CaoMPrOtwr,delete
425,Retrouvez mon interview au JDD de ce dimanche. https://t.co/CgjLZMdWG1,
426,#Noustoutes parce que pour chacune ces violences sont un drame et que la compassion ne suffit pas. #Noustoutes pour que nos petites-filles n'imaginent même pas que des femmes aient pu en mourir. Agir! A bonne mesure... ChT https://t.co/8j8kVu662Y,aide sociale
427,"#AsiaBibi, libre enfin! C'était une cause tellement juste et nous avons tellement désiré que justice soit dite. Les institutions sont bien ce qui protège contre la force, les irrationalités et les fanatismesChT",justice
428,"#JournéeInternationaleduKréyol Dapré mo nou pa djè gaya ankô. Qui soutient nos artistes, explorateurs têtus des langues, des cultures et des imaginaires? Tan folklor pasé. Nou pou doubout a soléy, savé kimoun nou sa ké tou sa nou ja bay, dépi tan Djab té toupitiChT#Creole",
429,"#PoovanaaAOopa réhabilité par la @Courdecassation. La justice,enfin! Oui il arrive que ce soit long très long... Émotion pour l'homme et son honneur, ses descendants et au-delà tous les Polynésiens. J'ai voulu un processus rigoureux et méticuleux. Une pensée pour mon équipeChT https://t.co/uPcLZdXksv",culture
430,Il paraît que les chiffres ont baissé. C'est leur affaire. Chaque agression est une de trop. Et chaque discrimination justifie toutes les autres. Il n'est question ni de capituler ni de nous y habituerChT#LGBTPhobies #VivreSansHaine #LibreEtVisible @SOShomophobie @InterLGBT https://t.co/balqENOfKn,liberte
431,"Leçon inaugurale d'Amos Gitaï au #CollegedeFrance, c'était intelligent, érudit, spirituel et tellement accessible! Des idées fortes et belles servies par des mots simples et clairs. Et des images puissantes. De l'oxygène naissantChT@cdf1530",
432,"FÉLICITATIONS chaleureuses et amicales à Maryse Condé, lauréate du prix Nobel alternatif de littérature. La vie n'est pas toujours scélérate, elle réserve des merveilles et nous donne parfois le coeur à rire...ou à pleurer d'émotionChT",culture
433,"Pour l'abolition universelle de la peine de mort, avec la @coalitionPDM , ""Je vote l'abolition pure, simple et définitive de la peine de mort"". Victor Hugo. Nous aussi, dans les pays qui tardent encore. 5/5ChT",culture
434,"‘’Demain, grâce à vous, la justice française ne sera pas une justice qui tue. Demain, grâce à vous il n’y aura plus, pour notre honte commune, d’exécutions furtives, à l’aube, sous le dais noir, dans les prisons françaises’’. R. Badinter, Assemblée nationale 17/09/1981 – 4/5ChT",
435,"’La peine de mort est le signe spécial et éternel de la barbarie… Vous ne l’abolirez pas peut-être aujourd’hui, mais n’en doutez pas, vous l’abolirez ou vos successeurs l’aboliront demain !’’ Victor Hugo, Assemblée nationale 15/09/1848 – 3/5ChT",culture
436,"’To take a life when a life has been lost is revenge, not justice.’’ ‘’Prendre une vie contre une autre vie, c’est de la revanche, pas la justice.’’ South-African archbishop Desmond Tutu 31/05/1989 -2/5ChT",delete
437,"Vous allez enfin descendre dans ces sombres régions des crimes et des supplices…’’ Le Pelletier de Saint-Fargeau, Assemblée constituante 23/05/1791. ‘’Mais qu’est-ce donc que la peine capitale, sinon le plus prémédité des meurtres…?’’ Albert Camus- 1/5ChT",
438,"#violencesconjugales #violencessexistes, crûment ces cruautés sont bien les pires archaïsmes, la marque brutale de l’impuissance, un infâme aveu de faiblesse. La force à la place des mots, un échec toujours. URGENCE ! Entier soutien #SauvonsLes cc @MurielRobinCOM @EvaDarlan ChT",aide sociale
439,« Nous irons vers d’autres victoires. Et nous chanterons aux basses eauxL’inépuisable chanson de l’aurore. »#TolerantiaAwards2018 @SOShomophobie https://t.co/zozcJxndMr,delete
440,"« Vous évoquez notre victoire en 2013, après de longs combats. Je veux saluer @DBertinotti et @erwannbinet. Les victoires sont toujours collectives. » #TolerantiaAwards2018 @SOShomophobie",
441,"« Ça gesticule et parle fort.Ça joue les divas, les ténors de la bêtise.Moi les lazzi, les quolibetsMe laissent froid puisque c'est vrai.Je suis un homo comme ils disent.»C’était Aznavour, il y a 40 ans.Remise du prix contre l’homophobie #TolerantiaAwards2018 @SOShomophobie",culture
442,"#VIeRépublique Ce n'est pas un slogan. Contre-pouvoirs, espaces pr la parole citoyenne, statut des langues et cultures régionales, moyens pérenne pr les missions d'Etat, partages de souveraineté en Europe, engagements internationaux.. C'est un enjeu démocratique #Constitution ChT",liberte
443,"Pour aujourd'hui et pour demain, pour nous-mêmes et pour nos enfants, pour notre conscience et notre mémoire : être simplement à la hauteur. J'approuve et je soutiens.https://t.co/ogsOezrixV #Aquarius ChT",
444,"#Martinique et #Guadeloupe en #vigilance rouge pour #ISAAC. Mille pensées de solidarité et d'affection pour vous toutes et tous qui, une fois de plus, ferez face avec courage et filozofi ChT",aide sociale
445,"Dear @ArethaFranklin, last time it was at the White House, for the #2016 @IntlJazzDay. We were all like #POTUS Obama and First Lady Michelle: both deeply moved and widely enthusiastic since the very moment you came on stage. We'll never give you enough thanksChT",delete
446,"#JusticepourAdama Il ne devrait pas être trop difficile à la Justice d’être juste, diligente sans précipitation, de préserver les institutions en vérifiant les faits et les actes, de prononcer le Droit. C’est là sa part pour que nous soyons égauxChT",
447,"#Mandela C’est quoi un siècle? Un homme se dresse face à un Etat raciste et violent, le défie, toise la mort, casse des roches 27 ans durant à Robben Island, en sort le poing levé le regard intense le sourire doux! Ce qui le tient? #Ubuntu Je-Nous. Madiba inaltérable en nousChT",culture
448,"@equipedefrance Bravo à ces joyeux gaillards, âmes bien nées, qui auront encore un ballon dans les pattes pendant un moment et qui seront encore dans nos pattes pendant longtemps. Pardon de vous froisser, c’est pour vous refroidir la tête, nous nous l’avons trop chaudeChT",delete
449,Merci au @CJAmeriques pour cette invitation à donner une conférence sur l'engagement pour la transformation sociale. Revigorant de m'adresser à cette centaine de jeunes des Amériques et de la Caraibe#PJFA @universitelaval https://t.co/NKns8qcQZU,
450,"Un bonheur de retrouver les 150 jeunes en provenance de tout le continent de l'Amerique et de la Caraibe, pour le Parlement Jeunesse de la Francophonie des Amériques#PFJA https://t.co/HVoZVy885E",international
451,Soutenons l’initative #weareawelcomingeurope d’ @emmabonino https://t.co/Mh1vHT6mXr,delete
452,"#MarcheDesFiertes Que valent nos libertés individuelles si elles sont refusées ou contestées à des personnes juste pour ce qu’elles sont? La citoyenneté n’est pas à géométrie variable.Notre vigilance: la loi doit protéger,la société s’habituer, les agressions dûment répriméesChT",
453,"Aquarius: Espagne, notre lueur… ma tribune dans le @leJDD https://t.co/nVNJB6HeX5 via @lejdd",immigration
454,"@FetedelaDette c'est la fête, c'est sur la dette, pour une recette, qui va au @SecoursPop, vous savez ces gens extraordinaires qui ne lâchent pas les pauvres. C'est au @104Paris ce samedi 2 juin, le soir, c'est plus drôle. D'ailleurs c'est @ChrAleveque le grand Ordonnateur ChT",delete
455,"Je soutiens et je signe la pétition « Égalité, fraternité » ChT2/2https://t.co/Lm4nJzLz2N",
456,"A lire, cette tribune publiée hier dans @lemondefr que je partage « nous avons aidé, nous aidons et aiderons les migrants dans le besoin » 1/2 ⬇️⬇️https://t.co/vqd4SCOxZS",immigration
457,"#lamarchedu23mai2018 Nous battrons le pavé et le bitume pour dire ce qui fut et nous en souvenir. Et pour combattre ce qui est. Car aujourd'hui encore, ici et ailleurs, on capture, on vend, on torture, on viole, on tue. Par préjugé et par cupidité ChT",
458,"@lamaisonrouge #CeijaStojka Auschwitz is my coat, BergenBelsen my dress and Ravensbrück my vest, why should I be afraid ? une incroyable résilience que cette part indestructible de l’enfance transforme en toiles aux traits stridents et en fragments lumineux. La vie dans l’artChT",
459,"@lamaisonrouge #Blackdolls If we had not loved each other none of us would have survived, James Baldwin. Un siècle de poupées noires, artisanat existentiel du dénuement et de l’oppression, résistance par l’objet qui fait image de soi, d’abord pour soi. L’art dans la vie  ChT",delete
460,"""Quoique vous cherchiez à savoir ou à ressentir, à comprendre ou à percevoir, à saisir ou à entrevoir, quelque part un livre répond à votre quête"". Je publie, aux @EdPhilippeRey ""Baroque sarabande"", hommage aux livres qui m'ont façonnée.https://t.co/bn5BAqou04…",culture
461,"Qu’est-ce en son principe que la colonisation ? … le geste décisif est ici de l’aventurier et du pirate, de l’épicier en grand et de l’armateur, du chercheur d’or et du marchand, de l’appétit et de la force… #AiméCésaire Discours sur le colonialisme 3/3ChT",
462,"Qu’est-ce en son principe que la colonisation ? …ni évangélisation, ni entreprise philanthropique, ni volonté de reculer les frontières de l’ignorance, de la maladie, de la tyrannie, ni élargissement de Dieu, ni extension du Droit… #AiméCésaire 2/3ChT",immigration
463,"Et je dis que de la colonisation à la civilisation, la distance est infinie, que de toutes les expéditions coloniales accumulées… de toutes les circulaires ministérielles expédiées, on ne saurait réussir une seule valeur humaine #AiméCésaire 1/3ChT",immigration
464,"mais moi homme! Rien qu'homme! Ah! ne plus voir avec les yeux. N'être plus une oreille à entendre! N'être plus la brouette à évacuer le décor! N'être plus une machine à déménager les sensations! Je veux le seul, le pur trésor, celui qui fait largesse des autres. Les pur-sangChT",
465,Mon peuple quand hors des jours étrangers germeras-tu une tête bien tienne sur tes épaules renouées et ta parole... Quand donc cesseras-tu d'être le jouet sombre au carnaval des autres ou dans les champs d'autrui l'épouvantail désuet #AiméCésaireDéjà 10 ans!ChT,culture
466,"#Rwanda Près d'un quart de siècle et au-delà des ombres, comment les femmes se reconstruisent, comment les enfants deviennent adultes, comment les morts occupent les mémoires et entretiennent les consciences, comment la vie refleurit, telle est la leçon...ChT",culture
467,"Rigoureux, vif, drôle, Guy Carcassonne avec son gai savoir sur la démocratie, les institutions, la Constitution. Mais si! Anne-Marie Vignon le démontreChT https://t.co/enj3bC17Ct",
468,"« Quel contrat social pour le 21e siècle? », thème riche d’une belle rencontre étudiante ce soir dans le cadre de la @BIUSainteBarbe. https://t.co/qk8k4dHOmD",culture
469,"#Guyane Montagne d'Or : Les chiffres danseront toutes les danses pour séduire, ils n'effaceront pas ceci: 1) la mine est un cratère dans la forêt d'Amazonie 2) avec les mêmes sommes l'Etat peut financer la formation des jeunes sans emploiChT",autre
470,"Winnie Madikizela Mandela: Quelle vie tout de même et quelle force! Quelle endurance! Et comme la violence institutionnelle peut tout corrompre, brutalement et insidieusement. L'inexcusable ne s'excuse pas. L'amour et la gratitude de son peuple restent le dernier motChT",
471,"Avec les jeunes filles, les enseignantes et cadres du Centre Zagal à Yopougon (Abidjan). Une 2eme chance pour celles qui souvent n'ont même pas eu la 1ère. Ici, elles  reprennent leur vie en main. En confianceChT https://t.co/pi8bzjNt4U",education
472,"Samedi soir à la @maisonpoesie1, le Goût d'être ensemble. Elles sont fabuleuses, ils sont formidables, talent et joie de jouer bouillonnent en eux. @EmmanuelNoblet les a encadrés pour cette lecture tonique joliment mise en scène. Bon vent à vous 6ChT https://t.co/RLgxPMi3vv",culture
473,"Entretien fructueux avec @ABAPresident HilarieBass, forte de 410 000 avocats, très engagée sur l'égalité femmes-hommes et les droits civiques. Next round in Paris, June, 70th anniversary of Human rights cc @ABAesq ChT",
474,"Rencontre stimulante avec Dr Eduardo J. Padron, président du Miami-Dade College, esprit brillant et généreux, soucieux de l'égalité. ""Talent is universal"" he says. No fate! Education can make a difference.Belles coopérations avec la France via le Consulat généralChT https://t.co/0m3Nd6oigz",delete
475,J’ai le grand plaisir d’être la Marraine du Festival Tout-Monde qui s’ouvre demain à Miami. Cc @FranceinMiami https://t.co/klY5Bhbik8,delete
476,"À vous Idrissa Ouedraogo l'hommage du septième jour de deuil. Que la terre de Thomas Sankara, la vôtre, celle des Hommes intègres,  vous soit légère. Vos films continueront fidèlement à dire au monde vos tourments et vos talentsChT",
477,"C'est le moment de la séparation. Didier Lockwood s'en va en nous murmurant avec douceur cet enseignement de René Char : ""Nous n'appartenons à personne sinon au point d'or de cette lampe inconnue de nous, inaccessible à nous, qui tient éveillés le courage et le silence.""ChT",culture
478,Chère @MennelOfficial ==&gt; https://t.co/2D2jppB9yZ,delete
479,"Didier Lockwood? Non, on ne meurt pas si facilement! Même si à chaque concert il s'offrait en joie pleine avec son violon, comme au Duc il y a peu. Il fait soudain plus froid dans mon coeur que sur les flancs enneigés des côtes d'OttawaChT",
480,"En conférence à Ottawa  ""Lutte contre les inégalités : comment s'y tenir dans un gouvernement de gauche sous pression des médias et de l'opinion publique. Deux exemples en matière de justice (politiques publiques et organisation)""#NPDConvention",justice
481,"Cour de Cassation à Bruxelles. Je reçois ce prix international des droits de l'homme, avec humilité car ses fondateurs en font un prix littéraire, mais avec fierté et une profonde émotion. Plus on regarde le monde en face et plus s'impose le combat de fraternité et d'égalité ChT https://t.co/v84e0x81Ju",pouvoir achat
482,Beaucoup d’émotion aujourd’hui à Bruxelles. Un grand merci. https://t.co/3e7FHU067Q,
483,"Hi @hughmasekela dear friend, you saw life moving back and forth, despite fighting. You know home is where the music is, so I guess you did'nt forget your trumpet. Please say hello to Miriam and Miles. Love youChT",delete
484,[Communiqué] Décès de Georges Othily https://t.co/SXmvClj9Yo,delete
485,"#Migrantsday Sous le 1er pas, la volonté; sous le 2eme, le courage; sous le 3eme, l'espoir. C'étaient les pas les plus difficiles. Que peut la démagogie qui tord les principes et les règles, sinon nous plonger dans l'indignité et rendre plus hostile ce monde très inégal ChT",
486,"Sur l'indépendance de la justice, quelques rappels nécessaires. https://t.co/fu4qzrnHol",justice
487,"Le monde découvrit, effaré et pantois, cette expérience commune des femmes : la violence physique et symbolique. Il regarde interloqué et figé, ce marché aux esclaves. Sexisme, racisme, mercantilisme et...longue dénégation. Ça suffit, non? Les victimes sont vraies! ChT",autre
488,"""Nous sommes ensemble pour prendre le risque de la paix"" @Artisans_Paix #PaixenPaysBasque #9DecPARIS  https://t.co/EK6vvAOk1Y",
489,Pour la paix au Pays Basque. https://t.co/WkZvsxguWC,international
490,"Ce soir dans le @MondedesLivres , une évocation de James Baldwin, à l’occasion de la parution du livre I Am Not Your Negro issu du documentaire de Raoul Peck  https://t.co/aV9Bn8D7Sl",delete
491,"Conférence ""S'engager avec et pour les autres"" au #Congrès2017 de @FiqSante Une assistance attentive, des questions judicieuses, une ardeur à servir, toute la beauté de l'engagement syndical. Un partage revigorantChT",
492,"#PaysBasque Un moment à saisir. Le chemin de la paix n'est jamais un chemin facile. Il est pavé de souffrances, de légitimes rancœurs, d'impossibles pardons. Toute action pour la paix est un acte de courage politique. Et un pari. Il n'efface rien mais il rend possibleChT",international
493,"Pour la création d’une Fondation pour la mémoire de l’esclavage, par @jeanmarcayrault https://t.co/BfLq8DTPA6 via @libe",delete
494,"#EncheresLybie, illustration triste mais implacable: l'époque n'a rien à voir. Mentalité archaïque, appât du gain, sexisme, racisme font le cocktail de l'esclavage et de toutes les traites des personnes. Bricolage minable ou système organisé, la lutte doit être implacable ChT",autre
495,"""From the Voting Booth to Your Living Room"" En partage, le débat d’ouverture du #FestivalAlbertine 2017 avec @GloriaSteinem organisé à New York  par @franceinnyc https://t.co/QDv0hnR3yB",delete
496,D'abord je l'ai lue...Puis je l'ai écoutée. Entendue. Et enfin rencontrée. Il était tellement aisé d'aimer sa pensée et sa personne. Et la voilà partie. #FrançoiseHéritier ( #Hommage via @lemondefr )  https://t.co/URaJzxBAtS,delete
497,"#13novembre. Rien ne s'efface ni ne s'estompe. Les souvenirs mêlent de la tendresse à la tristesse. Cette présence préservée signe une victoire, amère et âpre, mais sûre.ChT",
498,Merci le @104paris pour l'accueil et merci @lalteregofr pour l'acuité des questions 😉 https://t.co/kkK8OxcXGR,autre
499,#StopPauvreté misère diamants programme alimentaire paradis fiscaux fonds vautours aumône ce n'est pas Prévert c'est notre monde @ATDQM ChT,delete
500,"Dégâts de misère, ces talents inaperçus, éteints sous la faim le froid le mépris, ravivés par une main tendue, @ATDQM #StopPauvrete ChT",
501,"La plume de D. Simonnot glisse comme un pinceau, B. Ricci s'en empare corps et voix. On en perd son souffleChThttps://t.co/Br6vgp5NKm",culture
502,"Gisèle Casadesus aurait pu se contenter d'être belle, talentueuse, célèbre, joyeuse, adulée, heureuse... Mes hommages attendrisChT",culture
503,J'étais l'invitée aujourd'hui de @mouloudachour dans #CliqueDimanche https://t.co/sRonvzPS3j,
504,"Journée d'hommage national aux #victimes du #terrorisme: un concentré de dignité, d'émotion,de force et de courage. Quelle belle leçon! ChT",international
505,Nous aurons besoin de caractères forts et d'expérience au sénatChT https://t.co/LSMjf6ZuxE,delete
506,"Dimanche 17/9 Place de la Concorde pour accorder le monde, faire concorder les dires et les actes. #PrintempsSolidaire #APD #ZeroSept.ChT",
507,"Pas de répit, oui il reste à faire!ChT https://t.co/GyJawSlbu7",autre
508,"Visionnaire, téméraire, érudit, faussement taciturne, franchement curieux, est-ce donc possible? Oui. Ainsi était #PierreBergéChT",
509,"@GLarrive @laurentwauquiez et ""années Taubira"": mauvaise foi? Ignorance crasse? Fière du travail sur la récidive ChT https://t.co/088PweKJra",
510,"A l'occasion de la sortie du livre Le Procès de l'Amérique de @tanehisicoates que j'ai l'honneur de préfacer, retrouvez mon itw dans @lobs. https://t.co/Zs1MbhmTxA",culture
511,"#Anne-MarieRézaire s'est éclipsée, pour elle ""le vent récite sa leçon du lendemain et chante des trésors enfouis"". L-G. DamasChT",delete
512,"#décalage-toi, vu à Avignon, c’est percutant et juste : on réfléchit, on rit. Les sujets sont denses et les interprètes impressionnantsChT",
513,"Ado, découvrir époustouflée Jeanne Moreau si libre, subtile, enjouée, si belle, si digne, vos sentiers de vie deviennent des avenuesChT",culture
514,"Le bronze à #Budapest cher Mehdy Metella,nous aimons aussi,l'effort et la volonté étant toujours là. Et c'est le métal des sculpteurs...ChT",delete
515,"#Onauratout c'est vous, public patient, attentif, réactif, assidu ou occasionnel, qui avez fait un succès de cette folle et belle idée ChT https://t.co/upx6JuM02k",
516,"#Onauratout les interprètes ont magnifié les sujets, les auteurs et les textes, évoluant sous la direction tonique d'Anne Laure LiegeoisChT https://t.co/KnvQchpyL0",culture
517,"#AdamaTraoré citoyen, en clair une personne avec des droits. Vérité et justice, sinon la confiance s'effondre #JusticepourAdamaChT",delete
518,"CHAR Guyane, l'égalité c'est d'abord des services publics d'égale qualité. En personnel, équipement, conditions de travail et d'accueilChT",
519,"Maryam Mirzakhani continuera à faire rêver les petites filles de chez elle et d'ailleurs, et le savoir à faire passerelle culturelleChT",culture
520,"#Brésil, le Quai de Valongo rendu par l'@UNESCO à nos imaginaires pour ce qu'il atteste de tristement réel : le commerce d'êtres humainsChT",delete
521,"Se souvenir. Encore et toujours. Agir, sans répit, sans complaisance, ici et ailleurs, notre dette inextinguible #VeldHiv ChT",
522,Le feuilleton #OnAuraTout continue jusqu'au 23 juillet! #FDA17 @FestivalAvignon,autre
523,"Pour ma dernière présence lors d'#OnAuraTout, j'ai voulu vous dire quelques mots #FDA17 A suivre en direct ici https://t.co/BYkRTGPNKL",delete
