,id,data,label,data_clean
1020,1021,Qu'on arrête d'embêter les femmes avec leurs vêtements.#MissionConvaincreLCI https://t.co/ZjUgi3BIPS,democratie,arreter embeter femme vetement missionconvaincrelci
1021,1022,"La hausse de l’électricité est due à nos centrales vieillissantes et à notre dépendance au marché énergétique européen. Je veux créer de l’indépendance énergétique et installer des énergies renouvelables maintenant, deux fois moins chères que des centrales #MissionConvaincreLCI https://t.co/3Irsj6vadX",ecologie,hausser electricite centrales vieillissant dependance marche energetique europeen vouloir creer independance energetique installer energie renouvelables maintenir fois cher centrales missionconvaincrelci
1023,1024,"Ce qui se joue en #Ukraine 🇺🇦, c’est la défense de la démocratie, de la liberté et de nos valeurs. On a un peuple qui a choisi la démocratie et vous avez un dictateur qui veut combattre toute la démocratie sur son territoire et à ses frontières.https://t.co/mVWqwBpzdJ",democratie,jouer ukraine defense democratie liberte valeur peupler choisir democratie dictateur vouloir combattre democratie territoire frontiere
1025,1026,Nous allons réparer la société. Nous embaucherons 100 000 infirmier.ères car il faut sauver l'hôpital public. 65 000 https://t.co/9xanMnRyYZ car il n’est pas possible qu’on ait des classes de 35 élèves. #MissionConvaincreLCI https://t.co/wH1rvtd1p8,sante,aller reparer societe embaucherons infirmier ere falloir sauver hopital public classer eleve missionconvaincrelci
1026,1027,"Je préfère dépendre de l’eau, du vent, et du soleil que du pétrole des pétromonarchies, du gaz de Poutine, ou de l’uranium du Niger. #MissionConvaincreLCI https://t.co/WaE9FBxeWo",ecologie,preferer dependre eau vent soleil petrole petromonarchies gaz poutine uranium niger missionconvaincrelci
1028,1029,"C’est comme ça qu’on construit de l’émancipation, de l’épanouissement, de l’intelligence collective. Je ne suis pas nostalgique de l’#école d’avant, mais des infirmiers, policiers, gendarmes, magistrats, car ce sont eux qui sont au front de la république#MissionConvaincreLCI",aide_sociale,construire emancipation epanouissement intelligence collectif nostalgique ecole infirmier policier gendarme magistrat front republique missionconvaincrelci
1029,1030,"Je suis né dans le logement de fonction de l’école. Mes parents étaient instituteurs d’une toute petite école. À l’époque, les enseignants étaient reconnus, bien payés, respectés. L’éducation c'était le cœur de la République. #MissionConvaincreLCI",education,logement fonction ecole parent instituteur petit ecole epoque enseignant reconnu bien paye respecte education coeur republique missionconvaincrelci
1030,1031,"On n’a pas assez tapé sur l’oligarchie russe, qui vit et s’enrichit de manière indécente. Il faut imposer un rapport de force avec Vladimir Poutine et que l’UE prenne des sanctions très fermes contre lui.#MissionConvaincreLCI https://t.co/pT6HuK8NAS",international,tape oligarchie russe voir enrichir maniere indecent falloir imposer rapport forcer vladimir poutine ue prendre sanction fermer contrer luire missionconvaincrelci
1031,1032,"Je suis né dans le logement de fonction de l’école. Mais à l’époque, les enseignants étaient reconnus, bien payés, respectés. L’éducation c'était le cœur de la République. C’est comme ça qu’on construit de l’émancipation et de l’intelligence collective.#MissionConvaincreLCI https://t.co/Jz75RkA56o",education,logement fonction ecole epoque enseignant reconnu bien paye respecte education coeur republique construire emancipation intelligence collectif missionconvaincrelci
1037,1038,"La #PPLIVG est définitivement adoptée ! ✊🏽Grâce à cette loi, les milliers de femmes contraintes de se rendre chaque année à l’étranger pour avorter auront une solution en France.Je salue la ténacité d’@AlbaneGaillot et de toutes les féministes mobilisées. #JeSoutiensLaPPLIVG",aide_sociale,pplivg definitivement adopte grace loi millier femme contraint annee etranger avorter solution france saluer tenacite albanegaillot feministe mobiliser jesoutienslapplivg
1038,1039,"Je souhaite le retour du septennat unique. Aujourd’hui, le pouvoir est trop concentré. Nous devons déprésidentialiser notre République. Je veux remettre le président dans le temps long.L’écologie, c’est penser dans le temps long, mais c’est agir maintenant. https://t.co/ejzCEZ8GQv",ecologie,souhaiter septennat unique pouvoir trop concentre devon depresidentialiser republique vouloir remettre president temps long ecologie penser temps long agir maintenir
1042,1043,"Le patrimoine financier de 63 milliardaires émet autant de gaz à effet de serre que celui de la moitié de la population française, qui paiera la première le prix du dérèglement climatique : privatisation des bénéfices, socialisation des pertes.#Inegalites #environnement https://t.co/yvsg3QT9GL",pouvoir_achat,patrimoine financier milliardaire emettre autant gaz serrer moitie population francais payer prix dereglement climatique privatisation benefice socialisation perte inegalites environnement
1044,1045,J'appelle tous les humanistes et tous les progressistes à soutenir le peuple ukrainien face à l'invasion de V. Poutine. #Ukraine @rglucks1 https://t.co/FHuQtG92Qc,aide_sociale,appeler humaniste progressiste soutenir peupler ukrainien face invasion v poutine ukraine rglucks
1046,1047,"Créer les conditions d’une vie digne pour tou·te·s, c’est offrir un filet de sécurité contre la grande pauvreté et garantir aux plus vulnérables d’entre nous qu’ils seront protégés, accompagnés, bien traités.Consultez le programme 👇https://t.co/7YymuEAzcU #CàVous #Jadot2022",securite,creer condition vie digne tou offrir filet securite contrer grand pauvrete garantir vulnerable entrer protege accompagne bien traite consulter programmer cavous
1050,1051,Je veux que chacune et chacun puisse accéder à la nature en toute sécurité le week-end et les vacances. #CàVous#Jadot2022 🌻 https://t.co/dtMRE9ayqW,securite,vouloir pouvoir acceder nature securite week end vacance cavous
1052,1053,Notre projet énergétique répond à l’urgence climatique. Nous devons agir maintenant ! #CàVous#Jadot2022 🌻 https://t.co/HD1ExZLpVs,ecologie,projet energetique repondre urgence climatique devon agir maintenir cavous
1054,1055,"Lorsque l'armée russe a franchi la frontière ukrainienne, elle a commis ce qu’on appelle une invasion. Minimiser cela, comme le font certains dirigeants européens, c’est accepter la stratégie de Poutine. #CàVous #Jadot2022 🌻 https://t.co/o2MeVNk6ir",international,armee russe franchir frontiere ukrainien commis appeler invasion minimiser faire dirigeant europeen accepter strategie poutine cavous
1055,1056,"V. Poutine attaque la démocratie. L’Union Européenne doit être ferme, unie, et sanctionner l’oligarchie poutinienne au pouvoir en établissant un rapport de force pour éviter le pire. #CàVous#Jadot2022 🌻 https://t.co/cPl4DITuXW",international,v poutine attaquer democratie union europeen fermer unir sanctionner oligarchie poutinienne pouvoir etablir rapport forcer eviter pire cavous
1056,1057,Merci à toutes les marraines et à tous les parrains pour votre confiance. Notre projet s’appuie sur l’expérience des élu.e.s du territoire pour transformer la France et construire la République écologiste en avril ! https://t.co/5shzNrxRpa,ecologie,marraine parrain confiance projet appuyer experience elu territoire transformer france construire republique ecologiste avril
1058,1059,"Tous les démocrates doivent condamner cette nouvelle agression de Vladimir Poutine, qui menace la sécurité et la paix en Europe.  Nous vous donnons rendez-vous à 17h devant l'ambassade de Russie, en solidarité avec le peuple ukrainien. https://t.co/AblzZl7kvo",international,democrate devoir condamner nouvelle agression vladimir poutine menacer securite paix europe donner devoir ambassade russie solidarite peupler ukrainien
1059,1060,"Depuis 45 minutes que l’on discute, il y a eu environ 9 viols dans notre pays. Nous mettrons en place le milliard d’euros nécessaire pour lutter contre les violences sexistes et sexuelles. #Elysee2022 #DesCandidatsEtDesJeunes https://t.co/2TzxAS3UIx",democratie,minuter discuter viol pays mettre placer milliard euro necessaire lutter contrer violence sexiste sexuel elysee descandidatsetdesjeunes
1060,1061,"L'éducation est l'un des piliers de notre société et de mon programme. Je mettrai tout en œuvre pour allouer plus d'argent et de respect pour la communauté éducative, pour nos enfants. #Elysee2022 #DesCandidatsEtDesJeunes https://t.co/b0f8RtxYKq",education,education pilier societe programmer mettre oeuvre allouer argent respect communaute educatif enfant elysee descandidatsetdesjeunes
1062,1063,"Nous prendrons soin de chaque élève, en renforçant le taux d’encadrement, le maillage et la formation des personnels d’éducation et du soin. #Elysee2022 #DesCandidatsEtDesJeuneshttps://t.co/nbZCXPK6LA",education,prendre soin eleve renforcer taux encadrement maillage formation personnel education soin elysee descandidatsetdesjeunes
1063,1064,"En France, l’ascenseur social est en panne. Il faut mettre le paquet sur l’école, et investir plus de moyens là où il y en a le plus besoin, c’est-à-dire dans les zones rurales et dans les quartiers populaires. #Elysee2022 #DesCandidatsEtDesJeuneshttps://t.co/AcdlaegUN9",pouvoir_achat,france ascenseur social panne falloir mettre paquet ecole investir moyen besoin zone rural quartier populaire elysee descandidatsetdesjeunes
1064,1065,"Nous sortirons de l'élevage industriel. Je veux interdire rapidement l'élevage en cage. Sortir de l'élevage industriel, c'est repenser la ruralité et l'agriculture pour le bien-être des paysan·nes.#Elysee2022 #DesCandidatsEtDesJeuneshttps://t.co/xvENAa5Djl",democratie,sortir elevage industriel vouloir interdire rapidement elevage cage sortir elevage industriel repenser ruralite agriculture bien paysan nes elysee descandidatsetdesjeunes
1065,1066,L’éducation aux institutions commencera dès le lycée. Le droit de vote à 16 ans est une opportunité formidable pour remettre les jeunes au centre des politiques publiques. #Elysee2022 #DesCandidatsEtDesJeunes https://t.co/zzr6Y3WIKr,education,education institution commencer lycee droit voter opportunite formidable remettre jeune centrer politique public elysee descandidatsetdesjeunes
1066,1067,"Dès 18 ans, les jeunes seront autonomes. Chaque jeune devrait vivre en dignité, la précarité est inacceptable. #Elysee2022 #DesCandidatsEtDesJeuneshttps://t.co/0yckueDvHF",education,jeune autonome jeune devoir vivre dignite precarite inacceptable elysee descandidatsetdesjeunes
1067,1068,"Je demande à ce qu'Emmanuel Macron reçoive toutes les candidates et les candidats et les partis représentés pour discuter de la situation en #Ukraine.Pour défendre la démocratie, pour l'Europe.",international,demander recevoir candidat candidat partir represente discuter situation ukraine defendre democratie europe
1068,1069,"J'appelle au rassemblement en solidarité avec le peuple ukrainien, aujourd’hui à 17h, devant l’ambassade de #Russie, 40-50 Bd Lannes à Paris https://t.co/3p1wbNqvrN",international,appeler rassemblement solidarite peupler ukrainien devoir ambassade russie bd lannes paris
1069,1070,"L’entrée de l’armée russe sur le territoire de l’Ukraine est une grave violation du droit et une menace pour https://t.co/PT7ZmvHOdH les Européen.nes. Des sanctions doivent être prises contre les responsables, elles peuvent l’être sur leurs avoirs et immobilier en Europe.",international,entree armee russe territoire ukraine graver violation droit menacer europeen nes sanction devoir priser contrer responsable pouvoir immobilier europe
1071,1072,La reconnaissance des entités séparatistes par Poutine porte atteinte à l'intégrité territoriale et à la démocratie de l'Ukraine. Aucune complaisance! J'en appelle à une réponse française et européenne ferme et unie.,democratie,reconnaissance entite separatiste poutine porter atteinte integrite territorial democratie ukraine aucune complaisance appeler reponse francais europeen fermer unir
1072,1073,"Face à l’expansion autoritaire du régime de Poutine, l’Europe doit rester forte et unie. Défendre les valeurs de l’Europe, c’est défendre la souveraineté et la liberté de l’Ukraine. #UkraineRussiaCrisis",international,face expansion autoritaire regime poutine europe rester forte unir defendre valeur europe defendre souverainete liberte ukraine ukrainerussiacrisis
1074,1075,Quid des emplois ? Des déchets générés par le #nucléaire ? La #Normandie est une terre de combats contre les promesses non tenues du nucléaire #Jadot2022 #Tourneedespossibles #Rouen https://t.co/dsTIIxYXJP,ecologie,quid emploi dechet genere nucleaire normandie terrer combattre contrer promesse non tenue nucleaire tourneedespossibles rouen
1076,1077,"Ce qui se joue dans cette élection présidentielle autour de notre projet est crucial : c’est la sortie de l’inaction climatique,  la réindustrialisation du pays, le retour des services publics, la démocratie ! #Jadot2022 #Tourneedespossibles #Rouen https://t.co/78VfouFhZ9",ecologie,jouer election presidentiel autour projet crucial sortir inaction climatique reindustrialisation pays service public democratie tourneedespossibles rouen
1079,1080,"Cela fait 27 ans qu'Ibrahim Ali est mort à Marseille parce qu'il a été tué par des militants du Front National. Oui, la haine de l'extrême-droite tue. Continuons d'honorer sa mémoire et de nous battre pour que les idées racistes reculent ! https://t.co/BYbTTA9lpR",democratie,ibrahim ali mourir marseille tue militant front national oui haine extreme droite tuer continuer honorer memoire battre idee raciste reculer
1081,1082,À quand une véritable politique pour que des femmes ne meurent plus sous les coups de leurs partenaires ? Nous investirons 1 milliards d'euros chaque année contre les violences sexistes et sexuelles #StopFeminicides https://t.co/iLz7XIehB7,democratie,veritable politique femme mourir coup partenaire investir milliard euro annee contrer violence sexiste sexuel stopfeminicides
1082,1083,"Je propose un Pacte de patriotisme écologique associant toutes les forces vives de la Nation. La transition écologique se fera en rassemblant les entreprises, les pouvoirs publics, les travailleurs et les citoyens.",ecologie,proposer pacte patriotisme ecologique associer forcer vivre nation transition ecologique faire rassembler entreprise pouvoir public travailleur citoyen
1085,1086,La baisse des impôts de production a favorisé les grands groupes. Je propose un bonus / malus pour une fiscalité climatique. On ne peut pas mettre autant de milliards sans contraindre les entreprises qui n'ont pas prévu de décarboner leurs activités. #LaREF https://t.co/WX1MbLR9y3,emploi,baisser impot production favoriser grand groupe proposer bonus malus fiscalite climatique pouvoir mettre autant milliard contraindre entreprise prevoir decarboner activite laref
1086,1087,"La transition écologique se fera avec l’ensemble des acteurs économiques et sociaux, dans tous les secteurs. Je transforme la baisse des impôts de production en fonds de soutien aux mutations et à l’innovation industrielle avec les conseils régionaux. #LaREF https://t.co/XtAbcKAL1E",pouvoir_achat,transition ecologique faire ensemble acteur economique social secteur transformer baisser impot production fonds soutien mutation innovation industriel conseil regional laref
1087,1088,"Notre horizon est celui d’une nouvelle économie, robuste, résiliente, souveraine, en phase avec les impératifs de la transition climatique. Aujourd'hui, l'Union Européenne n'a pas de politique industrielle. Je me bats pour un European Buy Act. https://t.co/Sxc7vZEc0i",international,horizon nouvelle economie robuste resiliente souverain phase imperatif transition climatique union europeen politique industriel battre european buy act
1088,1089,Entière solidarité avec les territoires et les personnes touchées. Soutien aux équipes de secours et d'intervention #eunice https://t.co/DCl4kyIn9n,aide_sociale,entier solidarite territoire personnes touche soutien equiper secours intervention eunice
1093,1094,"Elle avait 25 ans.Une jeune femme est décédée parce qu'elle a été touchée par une balle au cours d'un après-midi de chasse.Pensées à ses proches.Il nous faut plus réglementer cette activité, il y a urgence !#Cantal #Cassaniouzehttps://t.co/1GAA8JENl0 https://t.co/AsK9FK6DEX",education,jeune femme decede touche balle cours midi chasser pensee falloir reglementer activite urgence cantal cassaniouze
1094,1095,Que veut faire Jordan Bardella des 30 000 médecins migrant.e.s qui travaillent dans nos hôpitaux ? Des 40 000 infirmiers et infirmières migrantes qui nous soignent ? L'immigration est essentielle dans notre pays ! #Jadot2022 #Changeons https://t.co/HW0ryqMbsY,immigration,vouloir faire jordan bardella medecin migrer travailler hopital infirmier infirmier migrantes soigner immigration essentiel pays changer
1096,1097,"Il faut remettre de la liberté, de l'égalité, de la fraternité dans notre République !#Tours #Jadot2022 https://t.co/UIt0JRRMac",democratie,falloir remettre liberte egalite fraternite republique tour
1097,1098,"Zélie Geneix, étudiante : ""La jeunesse est au cœur du projet des écologistes. En nous engageant pour le climat, nous nous engageons pour notre avenir !""#Tours #Jadot2022 https://t.co/E67hAQjRRR",ecologie,zelie geneix etudiant jeunesse coeur projet ecologiste engager climat engager avenir tour
1099,1100,"Les écologistes agissent dans les territoires, ici à Tours. Avec Emmanuel Denis, maire de Tours : ""L'écologie au pouvoir, ça change la vie des gens"". #Tours #Jadot2022 https://t.co/ef6ArdPai5",ecologie,ecologiste agir territoire ici tour denis maire tour ecologie pouvoir changer vie tour
1101,1102,Bravo @cdion pour cette nomination aux #Cesar2022 ! La culture est un espace essentiel pour parler de la protection de la biodiversité et du vivant. Heureux que vous réussissiez à toucher le cœur et l'esprit des gens sur ces sujets d'envergure. https://t.co/Vq9iFZObfE,culture,bravo cdion nomination cesar culture espacer essentiel protection biodiversite vivre heureux reussir toucher coeur esprit sujet envergure
1107,1108,"Si j’étais président de la République, j’aurais convoqué un sommet européen à Kiev pour afficher notre solidarité et notre unité vis-à-vis de la démocratie en #Ukraine et pour lancer un avertissement à la Russie, en cas d’invasion militaire. #Elysee2022 #Changeons #Jadot2022 https://t.co/neUjvQJuy7",aide_sociale,president republique convoquer sommet europeen kiev afficher solidarite unite vis vis democratie ukraine lancer avertissement russie cas invasion militaire elysee changer
1108,1109,"Pourquoi je veux légaliser le cannabis ? Pour libérer les quartiers des trafics, pour protéger la santé de nos enfants, et pour décharger nos policiers. #Elysee2022 👉Signez ici : https://t.co/PWjMODnWrX#Changeons #Jadot2022 https://t.co/sssZWUDYkU",securite,vouloir legaliser cannabis liberer quartier trafic proteger sante enfant decharger policier elysee signer ici
1109,1110,"Les classes populaires sont les premières victimes de la pollution, de l’obésité, des maladies chroniques. Parce que la précarité y est dense et historique, les quartiers populaires sont une priorité. #Elysee2022👉Consultez mon programme : https://t.co/t9Zcwu8zz8 #Jadot2022",ecologie,classer populaire victime pollution obesite maladie chronique precarite dense historique quartier populaire priorite elysee consulter programmer
1110,1111,Je mettrai en place un pass liberté climat. Ce pass universel permettra aux jeunes de 16 à 25 ans de se déplacer de façon illimitée en transports collectifs partout en France avec une seule carte unique.#Elysee2022 #Changeons #Jadot2022 https://t.co/vFBKL5Vg6k,democratie,mettre placer pass liberte climat pass universel permettre jeune deplacer illimite transport collectif partout france carte unique elysee changer
1111,1112,"Quand je vais dans les quartiers populaires, les familles ne disent pas être écologistes. Elles disent avoir trop chaud ou trop froid dans leur logement, qui sont mal isolés. #Elysee2022 #Changeons #Jadot2022 https://t.co/vrrCcT8L64",ecologie,aller quartier populaire famille ecologiste trop chaud trop froid logement mal isole elysee changer
1112,1113,"Il ne faut pas seulement faire l’opposition entre le nucléaire et les éoliennes.Dans notre pays, les énergies renouvelables c’est aussi l’hydraulique, la géothermie, la biomasse, et le photovoltaïque. #Elysee2022 #Changeons #Jadot2022 https://t.co/BbrVOUse5z",ecologie,falloir faire opposition entrer nucleaire eolien pays energie renouvelables hydraulique geothermie biomasse photovoltaique elysee changer
1113,1114,"Je ne suis pas pour la concentration des éoliennes. Je suis pour la diversification des énergies, qui pourront être hydrauliques, la biomasse, la géothermie et une concertation citoyenne pour que les habitant·e·s. #Elysee2022 #Changeons #Jadot2022 https://t.co/WacXWl9QuT",ecologie,concentration eolien diversification energie pouvoir hydraulique biomasse geothermie concertation citoyen habiter elysee changer
1114,1115,"Nous soutiendrons les initiatives locales, et la gestion collective des projets, et simplifierons la réglementation pour faire en sorte qu’au moins 15 % des français·e·s participent à un projet citoyen de production d’énergie. #Elysee2022#Changeons #Jadot2022 https://t.co/OscDhlzTqp",aide_sociale,soutenir initiative local gestion collectif projet simplifierons reglementation faire sortir francais participer projet citoyen production energie elysee changer
1115,1116,"L’EPR de Flamanville, c’est 17 milliards de gabegie !On a 56 réacteurs qui sont pour en fin de vie, quasiment 25% du parc est en maintenance car défectueux. On construit de nouveaux réacteurs ? Non, on choisit les énergies renouvelables ! #Elysée2022 #Changeons #Jadot2022 https://t.co/t1kGnuX3o2",ecologie,epr flamanville milliard gabegie reacteur fin vie quasiment parc maintenance defectueux construire reacteur non choisir energie renouvelables elysee changer
1116,1117,Envie de préparer la transition climatique avec l’enseignement supérieur et la recherche ? #Elysee2022 #Jadot2022 #Changeons 👉Consultez le programme des écologistes : https://t.co/aWGz4VvwOK,education,envier preparer transition climatique enseignement superieur rechercher elysee changer consulter programmer ecologiste
1117,1118,"Ce n’est pas à l’État de dire comment cela se passe à l’université. Il y a ce qu’on appelle la liberté académique,et il existe de nombreux organismes de contrôle. #Elysee2022#Changeons #Jadot2022 https://t.co/Pw8NJo0Gsw",democratie,etat passer universite appeler liberte academique exister organisme controler elysee changer
1118,1119,"La culture, créatrice des imaginaires de demain, consultez mon programme : https://t.co/8O7JIetZAe#Elysee2022 #Changeons #Jadot2022 https://t.co/feKNFth365",culture,culture createur imaginaire demain consulter programmer changer
1119,1120,Les Racines du ciel de Romain Gary m’a énormément marqué un roman qui dit que l’écologie est un humaniste. La #culture c’est toujours l’avant-garde de nos futurs. En ça elle est importante. #Elysee2022 #Changeons #Jadot2022 https://t.co/tUgaiHG91q,ecologie,racine ciel romain gary enormement marque roman ecologie humaniste culture garder futur important elysee changer
1120,1121,"#culture : Plus jeune, c’était plutôt les livres et la télé. On allait dans des concerts de jazz, ou voir de grands artistes français comme Marcel Mouloudji. #Elysee2022 #Changeons #Jadot2022 https://t.co/yyujsV5Qri",culture,culture jeune livrer tele aller concert jazz voir grand artiste francais marcel mouloudji elysee changer
1124,1125,".@J_Bardella Vous faites la courte échelle à tous les dictateurs, vos amis, qui menacent l’Europe comme Poutine. #Elysee2022#Changeons #Jadot2022 https://t.co/P0KXGSuKBg",international,j_bardella courter echelle dictateur ami menacer europe poutine elysee changer
1125,1126,#Immigration @J_Bardella : Les 30.000 médecins migrants vous les virez ou vous les virez pas ? #Faceaface #Elysee2022 #Changeons #Jadot2022 https://t.co/cuJrnHsBfT,immigration,immigration j_bardella medecin migrant virer virer faceaface elysee changer
1126,1127,Je défends les valeurs de la République. Nous avons signé des accords internationaux que nous devons respecter. Nous sortirons de la politique migratoire de l’optique sécuritaire en la confiant à un grand ministère des solidarités. #Faceaface #Elysee2022 #Changeons #Jadot2022 https://t.co/JjTQPwWNfG,international,defends valeur republique signe accord international devon respecter sortir politique migratoire optique securitaire confier grand ministere solidarite faceaface elysee changer
1127,1128,"#Immigration @J_Bardella :Que dites-vous aux agriculteurs qui travaillent avec des personnes migrantes ? Que faites-vous des personnes qui travaillent à l’hôpital, dans un contexte déjà tendu ? Vous les renvoyez ? #Faceaface #Elysee2022 #Changeons #Jadot2022 https://t.co/sFtKW7XPCX",emploi,immigration j_bardella agriculteur travailler personnes migrantes personnes travailler hopital contexte tendu renvoyer faceaface elysee changer
1128,1129,"#Immigration : Que les extrêmes instrumentalisent le sujet pour faire peur aux Français est une évidence. Je suis pour une véritable politique migratoire de la dignité, de l’organisation, et de la maîtrise des flux. #Faceaface #Elysee2022 #Changeons #Jadot2022 https://t.co/HMtCPxtZ27",immigration,immigration extreme instrumentalisent sujet faire peur francais evidence veritable politique migratoire dignite organisation maitriser flux faceaface elysee changer
1131,1132,"L'agriculture et l’alimentation sont au cœur de la construction d’un futur écologique nécessaire et souhaitable, dont les germes sont déjà là, dans les territoires. #Elysee2022#Changeons #Jadot2022 https://t.co/WVbP8IJ7y0",ecologie,agriculture alimentation coeur construction futur ecologique necessaire souhaitable germe territoire elysee changer
1132,1133,"20 millions d'animaux sont élevés de la main de l'Homme uniquement pour être tués. Oui, j'assume pleinement de vouloir interdire les pratiques cruelles de chasse de loisir. #Elysee2022 #Changeons #Jadot2022 https://t.co/A2WneivwAM",democratie,million animaux eleve main homme uniquement tue oui assumer pleinement vouloir interdire pratiquer cruel chasser loisir elysee changer
1133,1134,Ce sont les chasseurs qui ont créé la surpopulation des sangliers en les nourrissant. Et ce sont les agriculteurs qui payent les dégâts. #Elysee2022 #Changeons #Jadot2022 https://t.co/P63dUwAszE,ecologie,chasseur creer surpopulation sanglier nourrissant agriculteur payer degat elysee changer
1135,1136,"#Total. Aujourd’hui, ce gouvernement laisse un grand groupe national détruire le climat plutôt que de le réorienter, avec toute son intelligence, vers les énergies renouvelables. #Elysee2022 #Changeons #Jadot2022 https://t.co/gsBujg1eN0",ecologie,total gouvernement grand grouper national detruire climat reorienter intelligence energie renouvelables elysee changer
1137,1138,#Pouvoirdachat : Il y a 12 millions de Français qui n’arrivent pas à se chauffer cet hiver. Nous sommes les seuls à agir sur les dépenses contraintes. #Elysee2022 #Changeons #Jadot2022 https://t.co/1Qma3bM5Sa,pouvoir_achat,pouvoirdachat million francais arriver chauffer hiver agir depenser contraint elysee changer
1140,1141,"Pas un seul membre du gouvernement n’a accepté de venir débattre ce soir. Je comprends leur réticence : ils n’ont pas de bilan écologiste. Ce président a été condamné deux fois pour inaction climatique, il se cache dans cette pré-campagne. #Elysee2022#Changeons #Jadot2022 https://t.co/2zvxlkybKa",ecologie,membre gouvernement accepter venir debattre soir comprendre reticence bilan ecologiste president condamne fois inaction climatique cacher pre campagne elysee changer
1141,1142,"L’utopie c’est de toujours croire en un monde meilleur. L’écologie ce n’est plus seulement une alerte, c’est la meilleure manière pour gouverner ce pays. #Elysee2022 #Changeons #Jadot2022 https://t.co/3Gj5nVhRs8",ecologie,utopie croire monde meilleur ecologie alerter meilleur maniere gouverner pays elysee changer
1142,1143,"3 mots qui me caractérisent : pugnacité, cohérence, sincérité. Mon seul engagement a été pour l'écologie et la solidarité. #Elysee2022 #Changeons #Jadot2022 https://t.co/7SrGWidJLf",aide_sociale,mot caracteriser pugnacite coherence sincerite engagement ecologie solidarite elysee changer
1145,1146,"« Pas de climat, pas de mandat ! » Je continuerai de le marteler dans ma campagne : notre responsabilité est immense, l'heure d'une République écologiste est venue. Je serai le président qui concilie  préservation de l'environnement et justice sociale ! https://t.co/9QqIS9fXbZ",ecologie,climat mandat continuer marteler campagne responsabilite immense heure republique ecologiste venue president concilier preservation environnement justice social
1146,1147,"Les écologistes au pouvoir, ça change tout ! Le revenu jeune s'inscrit dans la même logique que ma proposition d'instaurer le revenu citoyen : l'autonomie pour toutes et tous https://t.co/YVjD7jQ4mF",ecologie,ecologiste pouvoir changer revenu jeune inscrit logique proposition instaurer revenu citoyen autonomie
1147,1148,"#Mali: Je réaffirme que la solution pour la paix ne pourra être uniquement militaire, mais devra avant tout être diplomatique et politique.Retrouvez le communiqué de presse de @hub_laferriere, porte-parole de la campagne 👇https://t.co/Cam6IcNTj3 https://t.co/8bcaXdxSLm",securite,mali reaffirmer solution paix pouvoir uniquement militaire devoir diplomatique politique retrouver communique presser hub_laferriere porter parole campagne
1148,1149,"Un salut nazi au Parlement européen ? Cela est absolument inadmissible. Des sanctions lourdes et immédiates doivent être prises. Quand l’extrême-droite prend place dans les lieux de pouvoir, voilà ce qui arrive.https://t.co/2uLPovS5Tg",democratie,salut nazi parlement europeen absolument inadmissible sanction lourd immediat devoir priser extreme droite prendre placer lieu pouvoir arriver
1149,1150,"Même quand il met en place un dispositif pour aider les jeunes à s'insérer, le président oublie les ""invisibles"" ! Je veux être le président de toutes les Françaises et de tous les Français, pas que des privilégié.e.s #Changeons https://t.co/QtihGQChzE",aide_sociale,mettre placer dispositif aider jeune inserer president oublier invisible vouloir president francais francais privilegie changer
1151,1152,"4/5 En conséquence, nous demandons à ce que des actions urgentes soient engagées pour pérenniser le maintien sur le long terme de ces ordonnances, indispensables pour garantir la protection des peuples non contactés.",aide_sociale,consequence demander acter urgent engage perenniser maintien long terme ordonnance indispensable garantir protection peuple non contacter
1152,1153,3/5 Le seul recours réside dans la promulgation d'ordonnances de protection des terres afin d'empêcher les personnes menaçant l’intégrité des peuples d'y pénétrer. Mais nombre de ces ordonnances ont expirées et leur renouvellement doit impérativement être assuré.,securite,recours resider promulgation ordonnance protection terrer empecher personnes menacant integrite peuple penetrer nombre ordonnance expirees renouvellement imperativement assure
1153,1154,"2/5 Bien que la Constitution brésilienne oblige le gouvernement à délimiter les territoires #autochtones afin d’empêcher les personnes extérieures d'y pénétrer illégalement, un certain nombre de territoires des peuples non contactés ne sont pas encore délimités à ce jour.",international,bien constitution bresilien obliger gouvernement delimiter territoire autochtone empecher personnes exterieur penetrer illegalement nombre territoire peuple non contacter delimiter jour
1154,1155,"1/5 Avec plusieurs élus parlementaires et consulaires, français et européens, nous interpellons l'ambassadrice de France au #Brésil pour qu'elle intervienne auprès du Gouvernement brésilien pour le renouvellement des ordonnances de protection des terres #autochtones en #Amazonie.",international,elu parlementaire consulaire francais europeen interpellons ambassadeur france bresil intervenir gouvernement bresilien renouvellement ordonnance protection terrer autochtone amazonie
1157,1158,Je suis le candidat du monde d'après. L’écologie est la voie qui va nous permettre de nous réconcilier. #FaceaBFM #Jadot2022 https://t.co/rc6hvLR5MB,ecologie,candidat monde ecologie voir permettre reconcilier faceabfm
1158,1159,"Avec le droit de vote à 16 ans, le vote a lieu dans le cadre du lycée. Cela permettrait de mieux expliquer le fonctionnement des institutions, le fonctionnement du vote aux jeunes, qui sont trop nombreux à s’abstenir. #FaceaBFM  #Jadot2022 https://t.co/3rvPjqVzck",education,droit voter voter lieu cadrer lycee permettre mieux expliquer fonctionnement institution fonctionnement voter jeune trop abstenir faceabfm
